epoch,train_loss,val_loss,val_pass_rate,wall_s
0,3.1099,2.0617,,1.7
1,1.9419,1.6924,,3.4
2,1.7309,1.5792,,5.0
3,1.6306,1.4876,,6.7
4,1.5612,1.4383,,8.4
5,1.4909,1.4092,,10.0
6,1.4411,1.3883,,11.7
7,1.3806,1.3550,0.0000,18.8
8,1.3119,1.3125,,20.5
9,1.2518,1.3088,,22.1
10,1.1980,1.3009,,23.7
11,1.1500,1.2935,,25.4
12,1.0961,1.2839,,27.0
13,1.0482,1.3085,,28.6
14,1.0013,1.2981,,30.3
15,0.9591,1.3074,0.0000,32.9
16,0.9080,1.2937,,34.6
17,0.8601,1.3028,,36.3
18,0.8147,1.3628,,38.0
19,0.7817,1.3501,,39.6
20,0.7363,1.3662,,41.3
21,0.6906,1.3432,,43.0
22,0.6723,1.4407,,44.8
23,0.6251,1.4549,0.0000,50.7
24,0.5908,1.4477,,52.4
25,0.5656,1.4762,,54.1
26,0.5280,1.5198,,55.7
27,0.5126,1.5200,,57.4
28,0.4750,1.5461,,59.0
29,0.4506,1.5350,,60.6
30,0.4203,1.6145,,62.3
31,0.4004,1.6635,0.0000,185.7
32,0.3759,1.6827,,187.3
33,0.3618,1.6917,,189.0
34,0.3412,1.6998,,190.7
35,0.3180,1.7657,,192.4
36,0.3015,1.8332,,194.0
37,0.2876,1.8735,,195.7
38,0.2717,1.8029,,197.4
39,0.2563,1.8898,0.0000,205.7
