epoch,train_loss,val_loss,val_pass_rate,wall_s
0,0.9694,0.7109,,1.4
1,0.8955,0.6721,,2.5
2,0.8482,0.6537,0.0000,323.6
3,0.8265,0.6382,,324.7
4,0.7888,0.6246,,325.9
5,0.7695,0.6168,0.0000,573.9
6,0.7483,0.6106,,575.0
7,0.7129,0.5999,,576.2
8,0.7059,0.5940,0.0000,884.3
9,0.6849,0.5902,,885.5
10,0.6628,0.5870,,886.6
11,0.6432,0.5785,0.0000,1282.1
12,0.6273,0.5759,,1283.3
13,0.6146,0.5719,,1284.4
14,0.5984,0.5677,0.0000,1598.4
15,0.5770,0.5702,,1599.5
16,0.5612,0.5691,,1600.7
17,0.5475,0.5675,0.0000,1849.3
18,0.5364,0.5655,,1850.4
19,0.5268,0.5651,,1851.6
20,0.5130,0.5621,0.0000,1919.4
21,0.4977,0.5613,,1920.5
22,0.4859,0.5673,,1921.6
23,0.4698,0.5690,0.0000,2104.7
24,0.4579,0.5754,0.0000,2232.7
